Region (Bhf);Techn. Platz (Bhf);Bezeichnung (Bhf);Bezeichn. TP (EQ);Equipment (EQ);Bezeichnung (EQ);Postleitzahl (EQ);Ort (Bhf);Standort EQ;Hersteller (EQ);Baujahr (EQ);Klassenbezeichnung;ANTRIEBSART;ANZAHL_HALTESTELLEN;ANZAHL_TUEREN_KABINE;ANZAHL_TUEREN_SCHACHT;FOERDERGESCHWINDIGKEIT;FOERDERHOEHE;LAGE;TRAGKRAFT;ERWEITERTE_ORTSANGABE;MIN_TUERBREITE;KABINENTIEFE;KABINENBREITE;KABINENHOEHE;AUSFTEXTLICHEBESCHREIBUNG;TUERHOHE;FABRIKNUMMER;TUERART;GEOKOORDINATERECHTSWERTNEU;GEOKOORDINATEHOCHWERTNEU;NAMEGEMAESSWEGELEITSYSTEM;VERKEHRENDEVERKEHRSMITTEL
;;;S-Bahnsteig 1, Gl 1/2 (-2Ebene);10484325;Personenaufzug HA 049     Gleis 1/2;22765;Hamburg;;Thyssen Krupp;2012;Personenaufzüge;SEIL;3,0;2,0;3,0;1,0;9,6;;850,0;;1000,0;1570,0;1200,0;2250,0;zu Gleis 1/2 (S-Bahn);2100,0;281010054;;9,9345378;53,5516366;;
;;;S-Bahnsteig 2, Gl 3/4 Ri Wedel (-2Ebene);10484324;Personenaufzug HA 048     Gleis 3/4;22765;Hamburg;;Thyssen Krupp;2013;Personenaufzüge;SEIL;4,0;2,0;4,0;1,0;14,280000000000001;;1000,0;;900,0;1700,0;1200,0;2200,0;zu Gleis 3/4 (S-Bahn);2100,0;281010055;;9,9347884;53,5520514;;
;;;Technikraum und Lastenaufzug HA 008;10097636;Personenaufzug HA 008    FoodCourt;22765;Hamburg;EMPFANGSGEBÄUDE, ERDGESCHOSS;OSMA-Aufzüge Albert Schenk Gmb;2006;Personenaufzüge;SEIL;3,0;2,0;4,0;1,0;8,620000000000001;;1000,0;;;1265,0;1550,0;2000,0;Lastenaufzug;2000,0;20613003;;9,9350398;53,552327;;
;;;Treppenhaus Ottenser Hauptstr;10097635;Personenaufzug HA 007 Treppenhaus PNP12;22765;Hamburg;EINGANG P.NEVERMANN PL. 12;Thyssen Krupp;1977;Personenaufzüge;SEIL;5,0;1,0;5,0;1,0;17,870000000000001;INNEN;900,0;;1100,0;1000,0;1900,0;2200,0;;2000,0;211046061;;;;;
;02518;Hamburg-Bergedorf;Empfangshalle Straßenebene;10467952;Personenaufzug HA 057   Empfangsgebäude;21029;Hamburg;;OTIS GmbH & Co. OHG;2011;Personenaufzüge;SEIL;3,0;2,0;4,0;1,0;8,199999999999999;INNEN;1050,0;;1000,0;2100,0;1100,0;2250,0;EG - 1.OG - 2.OG;2100,0;;;10,2068198;53,4895345;;
;;;Mittelbahnsteig 01 Gleis 1/2;10435731;Personenaufzug HA 056;21029;Hamburg;TUNNEL, ZUGANG BSTG. 1;Thyssen Krupp;2010;Personenaufzüge;SEIL;2,0;2,0;4,0;1,0;4,76;AUßEN;900,0;;1000,0;1700,0;1200,0;2200,0;zu Gleis 1/2 Abschnitt F;2100,0;;;10,2062254;53,4896814;;
;;;R. 0.036 Anlieferung;10468771;Lastenaufzug HA 060 ( Personenaufzug );21029;Hamburg;;OTIS GmbH & Co. OHG;2010;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;2,78;INNEN;1000,0;;1000,0;2100,0;1100,0;2200,0;;2100,0;;;;;;
;;;S-Bahnsteig 02 Gleis 3/4;10435732;Personenaufzug HA 058   Gleis 3/4;21029;Hamburg;TUNNEL, ZUGANG BSTG. 2;Thyssen Krupp;2010;Personenaufzüge;SEIL;2,0;2,0;4,0;1,0;5,17;AUßEN;950,0;;1000,0;1400,0;1100,0;2100,0;zu Gleis 3/4 (S-Bahn);2100,0;;;10,206186;53,4898944;;
;;;S-Bahnsteig 03 Gleis 5;10071924;Personenaufzug HA 059;21029;Hamburg;TUNNEL, ZUGANG BSTG. 3;Hütter Aufzüge GmbH;1997;Personenaufzüge;HYDRAULISCH;2,0;2,0;4,0;0,6;5,39;;630,0;;1000,0;1750,0;1400,0;2250,0;zu Gleis 5 (S-Bahn);2100,0;;;10,2060445;53,4899883;;
;02519;Hamburg-Harburg;"Fernbahnsteig 1; Gleis 5/6";10467969;Personenaufzug HA 052   Gleis 5/6;21079;Hamburg;BAHNSTEIG 1, GL. 5/6;Thyssen Krupp;2012;Personenaufzüge;SEIL;2,0;;;1,0;5,29;;900,0;;900,0;1700,0;1200,0;2250,0;zu Gleis 5/6;2000,0;;;9,9911142;53,4561709;;
;;;"Fernbahnsteig 2; Gleis 3/4";10467968;Personenaufzug HA 051   Gleis 3/4;21079;Hamburg;BAHNSTEIG 2, GL. 3/4;Thyssen Krupp;2011;Personenaufzüge;SEIL;2,0;;;1,0;5,2;;900,0;;900,0;1750,0;1200,0;2250,0;zu Gleis 3/4;2100,0;;;9,9915723;53,4561648;;
;;;"Fernbahnsteig 3; Gleis 1/2";10467966;Personenaufzug HA 050   Gleis 1/2;21079;Hamburg;BAHNSTEIG 3, GL 1/2;Thyssen Krupp;2011;Personenaufzüge;SEIL;2,0;;;1,0;5,14;;630,0;;900,0;1400,0;1100,0;2250,0;zu Gleis 1/2;2000,0;281010056;;9,9920899;53,4562694;;
;;;S-Bahnsteig Gleis 1/2;10499252;Personenaufzug HA 1601 S-Bstg Gleis 1/2;21079;Hamburg;VOM S-BSTG GL 1/2 ZU -2 EBENE;Thyssen;2015;Personenaufzüge;SEIL;2,0;2,0;;1,0;3,84;;1050,0;;1000,0;2100,0;1100,0;2250,0;Gleis 1/2 (S-Bahn) - Zw.ebene;2100,0;281013013;;9,99026;53,45706;;
;02521;Hamburg-Rahlstedt;Mittelbahnsteig 01 Gleis 1/2;10283335;Personenaufzug HA 038;22143;Hamburg;ZUGANG RI HAMBURG;Lutz Aufzüge;2002;Personenaufzüge;SEIL;2,0;1,0;2,0;0,63;4,7;;1000,0;;1000,0;2100,0;1100,0;2200,0;zu Gleis 1/2;2100,0;;;10,1536602;53,6043461;;
;02522;Hamburg-Wandsbek;Mittelbahnsteig 01 Gleis 1/2;10283217;Personenaufzug HA 061;22041;Hamburg;ZUGANG TUNNEL- BAHNSTEIG;Thyssen Krupp;2003;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;4,04;;1000,0;;1000,0;2100,0;1100,0;2300,0;zu Gleis 1/2;2100,0;;;10,0780753;53,5701329;;
;02523;Wilhelmsburg;Empfangsgebäude (neu);10479687;Personenaufzug HA 025   Straße;21109;Hamburg;BRÜCKE  STRAßE;Thyssen Krupp;2013;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;6,2;AUßEN;1000,0;;;1400,0;1100,0;2100,0;von EG zu Brücke;;;;10,0069427;53,4978177;;
;;;S-Bahnsteig;10479688;Personenaufzug HA 026 Bahnsteig;21109;Hamburg;BAHNSTEIG;Thyssen Krupp;2013;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;4,32;EBEN;1050,0;;;2100,0;1100,0;2100,0;zu Gleis 1/2 (S-Bahn);;;;10,0067234;53,4980208;;
;02533;Hammerbrook;S-Bahnsteig;10477624;Personenaufzug HA 0150;20097;Hamburg;;Thyssen Krupp;2013;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;10,66;;1050,0;;1000,0;1400,0;1100,0;2250,0;zu Gleis 1/2 (S-Bahn);2100,0;281012025;;10,024191;53,545968;;
;02581;Hasselbrook;S-Bahnsteig (Gl. 1/5);10506633;Personenaufzug HA 1603;22089;Hamburg;;Schindler GmbH;2015;Personenaufzüge;SEIL;2,0;;;1,0;5,020000000000001;;1050,0;;1000,0;2100,0;1100,0;2300,0;zu Gleis 1/5 (S-Bahn);2100,0;;;10,0566749;53,5649061;;
;02662;Heimfeld;S-Bahnsteig Gleis 1/2;10488658;Personenaufzug HA 1304;21075;Hamburg;;Thyssen Krupp;2013;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;9,42;;1050,0;;1000,0;1400,0;1100,0;2250,0;zu Gleis 1/2 (S-Bahn);2100,0;281013014;;9,9628286;53,4655743;;
;02797;Stellingen;S-Bahnsteig;10314152;Personenaufzug HA 033;22525;Hamburg;TUNNEL/BSTG;OTIS GmbH & Co. OHG;2005;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;5,61;;675,0;;1000,0;1400,0;1100,0;2300,0;zu Gleis 1/2 (S-Bahn);2100,0;;;9,9183585;53,5897485;;
;02803;Hochkamp;S-Bahnsteig;10448237;Personenaufzug HA 167;22609;Hamburg;S-BAHNSTEIG;Thyssen Krupp;2010;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;5,14;AUSSN;1050,0;;1000,0;2100,0;1100,0;2300,0;zu Gleis 1/2 (S-Bahn);2100,0;;;9,8423702;53,5612133;;
;02843;Hoheneichen;S-Bahnsteig;10448156;Personenaufzug HA 173;22391;Hamburg;S-BAHNSTEIG;Thyssen Krupp;2011;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;4,32;AUSSEN;1000,0;;1000,0;2100,0;1100,0;2200,0;zu Gleis 1/2 (S-Bahn);2100,0;;;10,0683945;53,6356639;;
;03068;Jungfernstieg;Jungfernstieg;10499649;Aufzug zur Straße;20095;Hamburg;; ;2018;Personenaufzüge;SEIL;2,0;;;;;;;;;;;;;;;;;;;
;;;S-Bahnsteig Gleis 1/ 2 (Ebene-3);10499922;Personenaufzug S-Bahnsteig;20095;Hamburg;; ;2018;Personenaufzüge;SEIL;2,0;;;;;;;;;;;;;;;;;;;
;03229;Klein Flottbek;S-Bahnsteig Gleis 1 / 2;10348886;Personenaufzug HA 0093;22609;Hamburg;TUNNEL/BSTG;OTIS GmbH & Co. OHG;2005;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,3;;1025,0;;1000,0;2100,0;1100,0;2300,0;zu Gleis 1/2 (S-Bahn);2100,0;47KAE016;;9,8602729;53,5581098;;
;03517;Landungsbrücken;E.U1.T01 Ausg. Ost Hafentor/ SH Eichholz;10499253;Schrägaufzug HA 1602;20459;Hamburg;;Hütter;2015;Personenaufzüge;SEIL;2,0;2,0;;;6,55;;1050,0;;900,0;2100,0;1100,0;2200,0;zu Gleis 1/2;2000,0;P215137;;9,9722959;53,5461541;;
;03518;Landwehr;S-Bahnsteig;10453235;Personenaufzug HA 177;22087;Hamburg;MITTLERER BSTGZUGANG;Thyssen Krupp;2011;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;4,060000000000001;AUSSEN;1000,0;;1000,0;2100,0;1100,0;2250,0;zu Gleis 1/2 (S-Bahn);2100,0;;;10,03802796;53,5612336;;
;03537;Langenfelde;S-Bahnsteig;10449040;Personenaufzug HA 168;22525;Hamburg;S-BAHNSTEIG;Thyssen Krupp;2010;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;5,0;AUSSEN;1050,0;;1000,0;2100,0;1100,0;2300,0;zu Gleis 1/2 (S-Bahn);2100,0;;;9,930948;53,5794383;;
;04139;Mittlerer Landweg;S-Bahnsteig;10467096;Personenaufzug HA 043;21033;Hamburg;;Thyssen Krupp;2012;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;6,46;;1050,0;;1000,0;2100,0;1100,0;2250,0;zu Gleis 1/2 (S-Bahn);2100,0;;;10,1321198;53,4976364;;
;04345;Nettelnburg;S-Bahnsteig;10448197;Personenaufzug HA 027;21035;Hamburg;S-BAHNSTEIG;Thyssen Krupp;2011;Personenaufzüge;HYDRAULISCH;2,0;1,0;2,0;1,0;4,48;AUSSEN;1050,0;;1000,0;1700,0;1200,0;2150,0;zu Gleis 1/2 (S-Bahn);2000,0;;;10,1812701;53,48794603;;
;04465;Neuwiedenthal;S-Bahnsteig;10358755;Personenaufzug HA 206;21147;Hamburg;ZUGANGSANLAGE WEST;OTIS GmbH & Co. OHG;2008;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;5,33;AUßEN;1050,0;;1000,0;2100,0;1100,0;2200,0;zu Gleis 1/2 (S-Bahn);2100,0;47KAE771;;9,875653;53,4730844;;
;04751;Ohlsdorf;S-Bahnsteig;10450716;Personenaufzug HA 176;22337;Hamburg;S-BAHNSTEIG;OTIS GmbH & Co. OHG;2010;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;5,92;AUSSEN;1025,0;;1000,0;2100,0;1100,0;2200,0;zu Gleis 2/5 (S-Bahn);2100,0;;;10,031886;53,6210148;;
;04817;Othmarschen;PU zum Bstg nur mit Aufzug;10444616;Personenaufzug HA 172;22605;Hamburg;ZUGANG NEUES BRÜCKENBAUWERK;Thyssen Krupp;2010;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;5,49;AUSSEN;1000,0;;1000,0;2100,0;1100,0;2200,0;zu Gleis 1/2 (S-Bahn);2100,0;;;9,8866475;53,5592149;;
;04993;Poppenbüttel;S-Bahnsteig;10467954;Personenaufzug HA 070;22045;Hamburg;;Thyssen Krupp;2012;Personenaufzüge;SEIL;2,0;;;1,0;5,03;;1050,0;;1000,0;2100,0;1100,0;2250,0;zu Gleis 1/2 (S-Bahn);2100,0;;;10,0938365;53,6518199;;
;05167;Reeperbahn;S-Bahnsteig Gleis 1/2 (-2 Ebene);10499938;Personenaufzug S-Bahnsteig;20359;Hamburg;; ;2018;Personenaufzüge;SEIL;2,0;;;;;;;;;;;;;;;;;;;
;05291;Rissen;S-Bahnsteig Gleis 1/2;10054102;Personenaufzug HA 123;22559;Hamburg;S-BAHN-BAHNSTEIG;OTIS GmbH & Co. OHG;2008;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;7,37;NEBEN;675,0;;900,0;1400,0;1100,0;2200,0;zu Gleis 1/2 (S-Bahn);2000,0;;;9,758315;53,5830916;;
;05408;Rübenkamp;S-Bahnsteig;10467950;Personenaufzug HA 015;22307;Hamburg;;Thyssen Krupp;2011;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,57;;1050,0;;1000,0;;;2250,0;zu Gleis 1/2 (S-Bahn);2100,0;281010059;;10,0328931;53,6066193;;
;05955;Stadthausbrücke;S-Bahnsteig Gleis 1/2;10487761;Personenaufzug HA 1207;20354;Hamburg;;Thyssen Krupp;2013;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;12,970000000000001;;1050,0;;1000,0;2100,0;1100,0;2250,0;zu Gleis 1/2 (S-Bahn);2100,0;;;9,9839864;53,5494215;;
;06399;Veddel;S-Bahnsteig;10452894;Personenaufzug HA 179;20539;Hamburg;SÜDLICHER AUSGANG S-BAHNSTEIG;Thyssen Krupp;2011;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;5,07;AUSSEN;1000,0;;1000,0;2100,0;1100,0;2250,0;zu Gleis 1/2 (S-Bahn);2100,0;;;10,0128011;53,5208173;;
;06529;Hamburg-Tonndorf;Mittelbahnsteig 01 Gleis 1/2;10311574;Personenaufzug HA 045   (Bahnsteig);22045;Hamburg;TUNNEL;Thyssen Krupp;2005;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,72;;1050,0;;1000,0;2100,0;1100,0;2200,0;zu Gleis 1/2;2100,0;;;10,12292604;53,58638352;;
;;;Personenunterführung;10311576;Personenaufzug HA 044   (zur Straße);22045;Hamburg;VOM TUNNEL ZUR STRAßE;Thyssen Krupp;2005;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;3,84;;1050,0;;1000,0;2100,0;1100,0;2200,0;von EG zu Tunnel;2100,0;;;10,1231381;53,5863209;;
;06530;Wandsbeker Chaussee;S-Bahnsteig Gleis 1/2;10323601;Personenaufzug HA 064;22089;Hamburg;BAHNSTEIG;OTIS GmbH & Co. OHG;2005;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;5,5;;1050,0;;1000,0;2100,0;1100,0;2300,0;zu Gleis 1/2 (S-Bahn);2100,0;47KAE015;;10,0598084;53,5700188;;
;07979;Allermöhe;S-Bahnsteig Gleis 1/2;10222347;Personenaufzug HA 0055;21035;Hamburg;ZUGANGSBEREICH / BAHNSTEIG;Hütter Aufzüge GmbH;1999;Personenaufzüge;INDIREKT HYDRAULISCH;2,0;1,0;2,0;0,5;7,04;AUßEN;1200,0;;1000,0;1700,0;1400,0;2200,0;zu Gleis 1/2 (S-Bahn);2100,0;;;10,1584603;53,4904206;;
03;00007;Achim;Hausbahnsteig;10318679;Personenaufzug Gl. 1 (47NAA603);28832;Achim;GLEIS 1;OTIS GmbH & Co. OHG;2006;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,770000000000001;;1050,0;;;;;;zu Gleis 1;;47NAA603;;9,0304963;53,0158206;;
;;;Mittelbahnsteig;10318680;Personenaufzug Gl 2/3 (47NAA604);28832;Achim;GLEIS 2;OTIS GmbH & Co. OHG;2006;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,34;;630,0;;;;;;zu Gleis 2/3;;47NAA604;;9,0307463;53,0160056;;
;00054;Alfeld (Leine);Bahnsteig Gleis 1;10349084;Personenaufzug Bstg Gl 1;31061;Alfeld;BSTG GL 1;OTIS GmbH & Co. OHG;2006;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,350000000000001;;1000,0;;900,0;2100,0;1100,0;2200,0;zu Gleis 1;2100,0;;;9,8186103;51,9811871;;
;;;Bahnsteig Gleis 2/3;10349085;Personenaufzug Bstg Gl 2/3;31061;Alfeld;BSTG GL 2/3;OTIS GmbH & Co. OHG;2006;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,08;;1000,0;;900,0;2100,0;1100,0;2200,0;zu Gleis 2/3;2100,0;;;9,8183479;51,9810532;;
;00145;Anderten-Misburg;Bahnsteig 01;10084470;Personenaufzug 21259 Bstg Gl 1/2;30559;Hannover-Anderten;BSTG GL 1/2;Tepper Aufzüge GmbH;2000;Personenaufzüge;SEIL;2,0;2,0;2,0;0,7;6,3;;1100,0;;1000,0;1100,0;2100,0;2200,0;zu Gleis 1/2;2100,0;21259;ZS2;9,8617303;52,36922;;
;00248;Bad Bentheim;Bstg 1;10502415;Personenaufzug Gl.1 (10959144);48455;Bad Bentheim;GLEIS 1;Schindler GmbH;2017;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,55;;1050,0;;1000,0;2100,0;1100,0;2200,0;;2100,0;10959144;;7,159224;52,309928;;
;;;Bstg 2/3;10500948;Personenaufzug Gl. 2/3 (10959147);48455;Bad Bentheim;GLEIS 2/3;Schindler GmbH;2017;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,55;;1050,0;;1000,0;2100,0;1100,0;2200,0;;2100,0;10959147;;7,15925;52,310076;;
;00281;Bad Harzburg;Empfangshalle;10436681;Personenaufzug 281 409040;38667;Bad Harzburg;EMPFANGSHALLE/QUERBAHNSTEIG;Thyssen Krupp;2010;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;3,95;EMPFANGSHALLE/QUERBAHNSTEIG;1050,0;;920,0;2200,0;1000,0;2100,0;von Empfangshalle zu UG;2100,0;;;10,5549679;51,8880262;;
;00319;Bad Pyrmont;Bahnsteig 2/3;10088751;Personenaufzug OTIS47 Bstg Gl 2/3;31812;Bad Pyrmont;PERSONENTUNNEL<->BSTG GL 2/3;OTIS GmbH & Co. OHG;2005;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;4,23;;1070,0;;;;;;zu Gleis 2/3;;;;9,27271248;51,97423993;;
;00370;Baden (Kr Verden);Bahnsteig 1;10462893;Personenaufzug Gl.1 (281310030);28832;Achim;BAHNSTEIG 1;Thyssen Krupp;2011;Personenaufzüge;SEIL;2,0;2,0;2,0;0,15;6,135000000000001;;1050,0;;;;;;zu Gleis 1;;281310030;;9,0814856;53,0077094;;
;;;Bahnsteig 2;10462898;Personenaufzug Gl. 2 (281310031);28832;Achim;BAHNSTEIG 2;Thyssen Krupp;2011;Personenaufzüge;SEIL;2,0;2,0;2,0;0,15;6,135000000000001;;1050,0;;;;;;zu Gleis 2;;281310031;;9,0815532;53,0078726;;
;00414;Barnstorf (Han);Bahnsteig 01;10492076;Personenaufzug Gl.1 (281313005);49406;Barnstorf;GLEIS 1;ThyssenKrupp;2014;Personenaufzüge;SEIL;2,0;;;;;;;BAHNSTEIG 1 ZUR PU;1000,0;2250,0;950,0;2200,0;zu Gleis 1;2100,0;281313005;;8,5103037;52,7076573;;
;00425;Bassum;Hausbahnsteig;10499357;Personenaufzug Gl.1 (10798070);27211;Bassum;GLEIS 1;Schindler GmbH;2015;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,55;;1050,0;;1000,0;;;;zu Gleis 1;2100,0;10798070;;8,5103037;52,7076573;;
;;;Mittelbahnsteig;10499358;Personenaufzug Gl. 2-4 (10798072);27211;Bassum;GLEIS 2/4;Schindler GmbH;2015;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,55;;1050,0;;1000,0;;;;zu Gleis 2/4;2100,0;10798072;;8,7395734;52,8473587;;
;00625;Bienenbüttel;Bahnsteig A Gleis 1 (220 m);10088968;Personenaufzug 47 NAE 283;29553;Bienenbüttel;BAHNSTEIG A GLEIS 1;OTIS GmbH & Co. OHG;2005;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;4,39;BAHNSTEIG A GLEIS 1;1025,0;;950,0;2050,0;;2100,0;zu Gleis 1;2100,0;;;10,48427865;53,14221256;;
;;;Bahnsteig B Gleis 3 (220 m);10088990;Personenaufzug 47 NAE 282;29553;Bienenbüttel;BAHNSTEIG B GLEIS 3;OTIS GmbH & Co. OHG;2005;Personenaufzüge;SEIL;2,0;1,0;1,0;1,0;4,32;BAHNSTEIG B GLEIS 3;1025,0;;950,0;2050,0;;2100,0;zu Gleis 3;2100,0;;;10,48446481;53,14238011;;
;00818;Bramsche;Bahnsteig 2/3 - Mittelbahnsteig;10286971;Personenaufzug Gl.2/3 (281503002);49565;Bramsche;BSTG.2/3 - ÜBERFÜHRUNGSBAUWERK;Thyssen Krupp;2003;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;6,5;;1050,0;BAHNSTEIG 2 ZUR PÜ;1000,0;2250,0;950,0;2200,0;zu Gleis 2/4;2100,0;281503002;;7,9746825;52,4112205;;
;;;Bahnsteig 01;10286970;Personenaufzug Gl.1 (281503001);49565;Bramsche;BAHNSTG.1-ÜBERFÜHRUNGSBAUWERK;Thyssen Krupp;2003;Personenaufzüge;SEIL;2,0;2,0;1,0;1,0;6,5;AUßEN;1050,0;BAHNSTEIG 1 ZUR PÜ;1000,0;2250,0;950,0;2200,0;zu Gleis 1;2100,0;281503001;;7,9749883;52,4112563;;
;00835;Braunschweig Hbf;Bahnsteig A Gleis 1/2;10453807;Personenaufzug OTIS 47NAM790;38102;Braunschweig;BAHNSTEIG A GLEIS 1/2;OTIS GmbH & Co. OHG;2011;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,43;;1045,0;;920,0;2200,0;;2100,0;zu Gleis 1/2;2100,0;;;10,5400206;52,2523984;;
;;;Bahnsteig B Gleis 3/4+11;10435186;Personenaufzug OTIS 47NAL780;38102;Braunschweig;BAHNSTEIG B GLEIS  3-4;OTIS GmbH & Co. OHG;2010;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,43;;1050,0;;920,0;2200,0;;2100,0;zu Gleis 3/4;2100,0;;;10,540226;52,2522813;;
;;;Bahnsteig C Gleis 5/6;10435187;Personenaufzug  OTIS 47NAL781;38102;Braunschweig;BAHNSTEIG C GLEIS 5-6;OTIS GmbH & Co. OHG;2010;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,83;;1050,0;;920,0;2200,0;;2100,0;zu Gleis 5/6 Abschnitt C/D;2100,0;;;10,5404825;52,2521343;;
;;;Bahnsteig D Gleis 7/8;10435192;Personenaufzug  OTIS 47NAL782;38102;Braunschweig;BAHNSTEIG D GLEIS 7-8;OTIS GmbH & Co. OHG;2010;Personenaufzüge;SEIL;2,0;2,0;2,0;1,0;4,79;;1050,0;;920,0;2200,0;;2100,0;zu Gleis 7/8 Abschnitt D/E;2100,0;;;10,5406848;52,2520182;;
;;;Keller 50 Haupttreppenhaus;10010125;Personenaufzug EG Haupttreppenhaus;38102;Braunschweig;EG ERG HAUPTTREPPENHAUS;Christian Hein GmbH;1993;Personenaufzüge;SEIL;7,0;1,0;1,0;1,0;35,0;OBEN;900,0;;920,0;2200,0;;2100,0;von KG zu 7.OG;2100,0;;;10,53992;52,2526;;
;00941;Buchholz (Nordheide);Bahnsteig 1/ 11;10318083;Personenaufzug Gl.1-11 (47KAE724);21244;Buchholz i.d.Nordheide;GLEIS 1-11;OTIS GmbH & Co. OHG;2006;Personenaufzüge;SEIL;2,0;2,0;4,0;1,0;7,270000000000001;;1000,0;;;;;;zu Gleis 1/11;;47KAE724;;9,8771233;53,3246627;;
;;;Bahnsteig 3/6;10318084;Personenaufzug Gl. 3/6 (47KAE725);21244;Buchholz i.d.Nordheide;GLEIS 3/6;OTIS GmbH & Co. OHG;2006;Personenaufzüge;SEIL;2,0;2,0;4,0;1,0;7,270000000000001;;1000,0;;;;;;zu Gleis 3/6;;47KAE725;;9,8770705;53,3248564;;
;00948;Bückeburg;Bahnsteig 1;10010921;Personenaufzug Nr.21294 Bstg Gl 1;31675;Bückeburg;BSTG GL 1 (HAUSBAHNSTEIG);Tepper Aufzüge GmbH;1999;Personenaufzüge;HYDRAULISCH;2,0;1,0;2,0;0,39;4,09;NEBEN;1000,0;;1000,0;2100,0;1100,0;2200,0;zu Gleis 1;2100,0;21294;ZS2;9,047808972;52,26763497;;
;;;Bahnsteig 2/3;10010923;Personenaufzug Nr.21295 Bstg Gl 2/3;31675;Bückeburg;BSTG GL 2/3;Tepper Aufzüge GmbH;1999;Personenaufzüge;HYDRAULISCH;2,0;1,0;2,0;0,39;4,278000000000001;NEBEN;1000,0;;1000,0;2100,0;1100,0;2200,0;zu Gleis 2/3;2100,0;21295;ZS2;9,047727131;52,26778193;;
;00982;Burgdorf (Han);Bahnsteig 1/2;10089684;Personenaufzug Nr. 21289 Bstg Gl 1/2;31303;Burgdorf;BSTG GL 1/2 MITTELBAHNSTEIG;Tepper Aufzüge GmbH;1999;Personenaufzüge;HYDRAULISCH;2,0;2,0;2,0;0,4;4,21;;1100,0;;1000,0;2100,0;1100,0;2200,0;zu Gleis 1/2;2100,0;21289;ZS2;10,0028013;52,44866145;;
;01015;Buxtehude;Hausbahnsteig Gleis 1;10444613;Personenaufzug HA 158   Bstg.1;21614;Buxtehude;HAUSBAHNSTEIG;Thyssen Krupp;2010;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;4,285;NEBEN;630,0;;900,0;1400,0;1100,0;2200,0;zu Gleis 1;2100,0;;;9,6880936;53,4705832;;
;;;Mittelbahnsteig  Gleis 2/3/4;10444614;Personenaufzug HA 159   Bstg.2;21614;Buxtehude;BAHNSTEIG  2/4;Thyssen Krupp;2010;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;4,3;NEBEN;675,0;;900,0;1400,0;1100,0;2200,0;zu Gleis 2/3/4;2100,0;;;9,688127;53,4704393;;
;01036;Celle Pbf;Bahnsteig 2/3;10011656;Personenaufzüge Nr. 21276 Bstg Gl 2/3;29221;Celle;BSTG GL 2/3;Tepper Aufzüge GmbH;1999;Personenaufzüge;HYDRAULISCH;2,0;2,0;2,0;0,39;4,28;INTEGRIERT;1000,0;;1000,0;1100,0;2100,0;2200,0;zu Gleis 2/3;2100,0;21276;ZS2;10,0629019;52,620995;;
;;;Bahnsteig 4/5;10560399;Personenaufzug Gl. 4/5 (ThyssenKrupp);29221;Celle;CELLE GL 4/5;ThyssenKrupp Aufzugswerke;2016;Personenaufzüge;SEIL;2,0;1,0;2,0;1,0;4,21;;1000,0;;1000,0;2100,0;1100,0;2100,0;;2000,0;281415064;ZS2;;;;
